id,昵称,头像,性别,年龄,城市,居住地,月薪,高度,婚姻状态,个性签名
1548892682,松哥,https://photo.zastatic.com/images/photo/387224/1548892682/11981081053197148348.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,58,阿坝,四川阿坝,5001-8000元,163,离异,"退休老头，一如既往热爱生活，""人老心不老，快乐自己找"";喜欢坐茶聊天，常常读读书，听听音乐，写写画画，喜好自娱自乐，悠闲自得！希望在有生之年，能遇到相依相伴之人，如果是你，快来吧！"
1416314229,傲娇懒猫,https://photo.zastatic.com/images/photo/354079/1416314229/2437217643201277918.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,32,阿坝,四川阿坝,硕士,162,离异,重点本科大学毕业考入进入公务员体制近10年，政法系统7年，现任乡镇领导干部，研究生学历，法律专业水平高，有法律职业资格证书A证，从事公职律师2年，工作中济贫扶困有正义感，踏实认真有上进心##3002##2019年离婚，有小孩不在身边，对婚姻有挫败感##2026####2026##为人真诚，善良，有几个好闺蜜，闲暇时爱好
1665182426,淡定从容,https://photo.zastatic.com/images/photo/416296/1665182426/1040343305307134389.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,37,阿坝,四川阿坝,大学本科,160,离异,好的婚姻应该是两个人一致对外，一起去搞定这个稀烂的世界，而不是在这个稀烂的世界里，互相搞乱对方的心态
1447683925,真诚,https://photo.zastatic.com/images/photo/361921/1447683925/267652050930227123.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,23,阿坝,四川阿坝,5001-8000元,173,未婚,我是一个有上进心，忠诚是第一位，想找一个好女孩
1827410269,我们好像在哪见过,https://photo.zastatic.com/images/photo/456853/1827410269/4605268668511327105.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,33,阿坝,四川阿坝,大学本科,167,未婚,最让人羡慕的不是有很多人追，而是遇见一个怎样都不会放弃你的人。纵然知道生活不会这么轻易，但我希望你在我的未来里，余生都是你！我是一个真诚并一旦认定从一而终的人，想找一个为人正直贴心、对家庭有责任感有担当的男人，非诚勿扰！
1693313153,非诚勿扰,https://photo.zastatic.com/images/photo/423329/1693313153/251842651559896793.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,35,阿坝,四川阿坝,20001-50000元,180,未婚,从头到尾一定要诚！只有真诚换真爱，能遇见就且行且珍惜。
1426975040,只是聊天,https://photo.zastatic.com/images/photo/356744/1426975040/573949536222411435.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,41,阿坝,四川阿坝,大学本科,160,离异,既往不恋，当下不杂，未来不迎。被工作和孩子占据了大部分，突然醒悟：梦想还是要有的，万一实现了呢。审思追逐的是什么？为此自律和努力，当有一天幸福敲门的时候，在你面前的我应该是最好的自己。
1509391227,流浪者,https://photo.zastatic.com/images/photo/377348/1509391227/7817042683513014351.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,35,阿坝,四川阿坝,5001-8000元,176,未婚,本人是一个打工人生于1987年，普普通通的农民家庭。想找一位真心过日子的女士。
1325877522,寻梦子,https://photo.zastatic.com/images/photo/331470/1325877522/2679772823177737165.png?scrop=1&crop=1&w=140&h=140&cpos=north,男士,38,阿坝,四川阿坝,8001-12000元,165,未婚,我是一个平凡的人，人也不帅，在这个被人设定好的世界里，只能求生存，但我肯定是一个让你相处舒服的人，希望能在这平台遇到和我相近的灵魂
1857963404,木木三,https://photo.zastatic.com/images/photo/464491/1857963404/96054156060889028.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,35,阿坝,四川阿坝,大学本科,165,离异,经历过挫折和社会的磨难之后，结束自己的年轻傻白甜时期，走到一个成熟的阶段。经历过岁月的蹉跎和情感的洗礼之后，开始明白什么是真正想要的。
1003748594,小可,https://photo.zastatic.com/images/photo/250938/1003748594/960886988585137021.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,20,阿坝,四川阿坝,高中及以下,145,丧偶,我是一个善敢女孩我喜欢冷漠和有礼貌的男孩生活种我感兴趣的是理由和开心喜欢听##d83c####dfb6##哪怕他怎么丑都无所谓只要能做饭干活 永爱我懂我能让给我安全感我都能接受这就是我的心想真心话##d83d####dc9e##
1856714542,清水煮茶叶,https://photo.zastatic.com/images/photo/464179/1856714542/243509326466913832.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,41,阿坝,四川阿坝,3001-5000元,173,离异,性格开朗 喜欢交朋友 反正你对我好 那么加倍对你好
1012253053,漂流瓶,https://photo.zastatic.com/images/photo/253064/1012253053/316764436516455270.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,42,阿坝,四川阿坝,12001-20000元,173,离异,一千年不倒，倒一千年不朽……………让年月铭记所以你的付出………
1839731206,漂流者,https://photo.zastatic.com/images/photo/459933/1839731206/9159680369106182224.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,52,阿坝,四川阿坝,3001-5000元,175,离异,首先，没有照片，没有实名，又没有会员的，就不要再来打扰我了，谢谢！因为实在无法确定你的真实性，而且就算你是真实的，没会员也无法交流，就不要浪费彼此时间了！本人条件有限，给不了你更好的物质，能给你的只有体贴、关心、关爱、呵护！让你最大可能的体会到丈夫的爱，体会到女人在家庭中想要的感觉！家用水、电、气安装维修以及小家电故障
1161677693,别样的人生,https://photo.zastatic.com/images/photo/290420/1161677693/66446769301131806.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,31,阿坝,四川阿坝,5001-8000元,175,未婚,简单的相遇简单的恋爱简单的相守一生
1444875566,不期而遇,https://photo.zastatic.com/images/photo/361219/1444875566/2622727949077314504.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,34,阿坝,四川阿坝,5001-8000元,167,未婚,希望在这里遇到的你，让我们相亲相爱，度过余生
1761252184,普普通通,https://photo.zastatic.com/images/photo/440314/1761252184/260875356455159750.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,50,阿坝,四川阿坝,高中及以下,160,丧偶,网络一线牵，相聚在空间，真情连四海，珍惜这段缘……
1328646421,守缘人,https://photo.zastatic.com/images/photo/332162/1328646421/4214715603311956353.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,48,阿坝,四川阿坝,50000元以上,171,离异,找到相爱的人，就是一种神话，如果真有那么一天，我会用生命去呵护，都说理解是爱的别名，我深信不疑！低看物质就会高看爱情！我不喝酒，不抽烟，不打牌，会开车，会下厨，会做苗家菜，京鲁菜，川菜菜，1975年属兔的，性格温和，有修养，有内涵！有时幽默！情趣！工作时间自由，公司效益非常好，希望能找一个心地善良，孝敬父母，通情达理，
1318618870,占儿33岁噻,https://photo.zastatic.com/images/photo/329655/1318618870/063340555037447241.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,41,阿坝,四川阿坝,大学本科,164,未婚,人生不易，不知不觉年纪已到了33岁！有缘看到资料的请看到结尾，思量下还是写下这份独白！首先介绍一下我的家庭！父母居住辽宁沈阳，由于实名制是姐姐代替开的会员只有真实年纪39岁是姐姐的！我是传统家庭出生的实实在在女孩！努力工作，单纯，喜欢居家的宅女！本着结婚为目标的可以联系！其它勿扰！
1977189312,回家,https://photo.zastatic.com/images/photo/494298/1977189312/2238920750928881541.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,44,阿坝,四川阿坝,大学本科,166,离异,想找个有稳定收入，可以度过余生有责任心、担当的伴侣！我不是会员，都沒回消息。请原谅！
1819615825,城北,https://photo.zastatic.com/images/photo/454904/1819615825/71260437023210219.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,29,阿克苏,新疆阿克苏,8001-12000元,180,未婚,不求前世五百年不遇  但求余生无数年不弃
1381635938,音符,https://photo.zastatic.com/images/photo/345409/1381635938/892535379825787221.png?scrop=1&crop=1&w=140&h=140&cpos=north,男士,39,阿克苏,新疆阿克苏,20001-50000元,178,未婚,喜欢美食、健身、自驾、旅行。不期望你美貌天仙，只愿看着顺眼，聊的来，相互互补，共同发展进步，彼此长久共度此生。
1242217094,柠檬,https://photo.zastatic.com/images/photo/310555/1242217094/301825440016383197.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,23,阿克苏,新疆阿克苏,大专,169,离异,典型的摩羯女性格温柔，圈子小不怎么社交，喜欢看电影，追剧，画画，探店，研究美食，不怎么会聊天希望我的另一半，性格稳定，不打牌，阳光向上，会照顾人，爹系
1629239490,西双版纳民宿,https://photo.zastatic.com/images/photo/407310/1629239490/2713826512811598619.png?scrop=1&crop=1&w=140&h=140&cpos=north,女士,31,阿克苏,新疆阿克苏,大学本科,160,未婚,目前人在云南西双版纳工作，打算回阿克苏工作##3002##体制内工作，助理讲师，目前正在进职称讲师##3002##额外自己经营了几套民宿地址之所以改写成阿克苏，如果不改，系统会一直推荐西双版纳的给我##3002##闪婚闪离，带个小婴儿～虽然带个小婴儿，但我相信总有思想比较好的人也愿意接受##3002##毕竟小孩子才几个
1715493387,笑谈余生,https://photo.zastatic.com/images/photo/428874/1715493387/11724017303117761326.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,51,阿克苏,新疆阿克苏,3001-5000元,170,未婚,感情专一，直接，不隐藏心事，对看不惯的人和事很直接##3002##不善于表达自己
1401470884,默风,https://photo.zastatic.com/images/photo/350368/1401470884/027451743007576649.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,35,阿克苏,新疆阿克苏,5001-8000元,177,离异,希望遇到合适的你，我们一起走过余生，然后结婚##3002##
1163465578,梦若兮水,https://photo.zastatic.com/images/photo/290867/1163465578/2086230374811181627.png?scrop=1&crop=1&w=140&h=140&cpos=north,男士,24,阿克苏,新疆阿克苏,5001-8000元,181,未婚,九万七，世间欢喜十万，你独占九万七，剩余弱水三千，我皆不动心##3002##
1447019077,心慌了吗,https://photo.zastatic.com/images/photo/361755/1447019077/225071777346153909.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,30,阿克苏,新疆阿克苏,12001-20000元,175,未婚,从此烟雨落荒城，一人撑伞雨中行##3002##孤身一人行万里，满天星辰只缺你##3002##
1442119273,没心没肺活着不累,https://photo.zastatic.com/images/photo/360530/1442119273/2927013264931090168.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,41,阿克苏,新疆阿克苏,20001-50000元,175,离异,珍惜眼前人，互相理解关心，有事一起商量，共同面对一切困难
1984801173,冰之泪,https://photo.zastatic.com/images/photo/496201/1984801173/702482449415448747.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,37,阿克苏,新疆阿克苏,8001-12000元,173,未婚,我是一个粘人的大男人，顾家，一旦爱上会付出全部的爱
1213216658,守候雨声,https://photo.zastatic.com/images/photo/303305/1213216658/56712965995419446.png?scrop=1&crop=1&w=140&h=140&cpos=north,男士,36,阿克苏,新疆阿克苏,5001-8000元,170,离异,工作在县城，家在市里，父母以退休住团场，认认真真找对象，我，不赌博，不家暴，不嗜酒，没啥不良嗜好，如果有就是抽烟，为人踏实，没啥心眼，只想踏踏实实找另一个她携手白头##3002##共同进退称之为家，双方彼此尊重互相理解，方能长久##3002##只顾自己不考虑对方的感受这样的家庭不长久，期待能遇见她携手余生到白头##30
1573965857,真诚,https://photo.zastatic.com/images/photo/393492/1573965857/240115564895676780.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,38,阿克苏,新疆阿克苏,高中及以下,163,丧偶,我是一个开朗活泼一个女人，喜欢玩，喜欢，听歌，喜欢和爱的人在一起逛街
1574137055,等待回忆有你,https://photo.zastatic.com/images/photo/393535/1574137055/2677982314295614168.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,25,阿克苏,新疆阿克苏,8001-12000元,174,未婚,终有相见之时，你亦不再孤行于世，春芽，夏涤，秋篱，冬绒，相思四季，待雁北归，你我，相遇，缘起，星辰月笠，春秋旖旎，才可白头相许，永不分离##3002##
1373551753,风的问侯,https://photo.zastatic.com/images/photo/343388/1373551753/1183111110531918407.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,53,阿克苏,新疆阿克苏,高中及以下,155,离异,成熟稳重，想找一个是姑娘的阿克苏的会体贴，会关心人的，我不是会员看不到你们的信息
1742214949,佛系青年,https://photo.zastatic.com/images/photo/435554/1742214949/1124683473899496469.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,36,阿克苏,新疆阿克苏,12001-20000元,176,未婚,工作稳定国企，不良嗜好只有抽烟，需要可戒，老家江苏徐州，人在库车工作，单休，80天假期##3002##相亲不交友，尽量直接点，看对眼能见面聊最好，接受离异！
1842227244,烊烊,https://photo.zastatic.com/images/photo/460557/1842227244/2857023223965321541.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,31,阿克苏,新疆阿克苏,高中及以下,167,离异,我是个事业心很强的人，而且做事比较认真保守，规规矩矩##3002##我的学习能力很强，并且肯拼，能吃苦##3002##我通常都是按照规矩办事，但却缺少点创新精神，缺乏一些胆魄##3002##在感情上也是如此，我比较专情，对人好，比较顾家，家庭责任感很重，是结婚的好人选##3002##我越是重感情，就越害怕被辜负，所以多
1634548536,逝去的流年,https://photo.zastatic.com/images/photo/408638/1634548536/293045420737696819.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,28,阿克苏,新疆阿克苏,5001-8000元,173,未婚,我是一个性格开朗，喜欢结交朋友的男孩子，希望另一半是理解我支持我工作，平时希望和另一半去逛街看电影
23736641,子西,https://photo.zastatic.com/images/photo/5935/23736641/15114631618109.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,53,阿克苏,新疆阿克苏,3001-5000元,170,离异,人生的快乐莫过于和我所爱的人携手走过岁月。如有开朗、有爱心的女孩，要是你的心情好，那就和我说说，我们创造好故事。
1667936797,真爱随缘,https://photo.zastatic.com/images/photo/416985/1667936797/513384796268456116557.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,66,阿克苏,新疆阿克苏,5001-8000元,173,离异,我对退休后的生活很有满足感，一不愁吃，二不愁穿，退休金基本够消费，揽阅祖国大好河山，心情喜悦，幸福感满蔓。
1820515570,只为了等你,https://photo.zastatic.com/images/photo/455129/1820515570/262695317875366905.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,41,阿克苏,新疆阿克苏,8001-12000元,170,离异,最佳配偶牛，龙，蛇！只要，善良，孝顺非常合得来！其他一切不重要！我喜欢画画，下象棋！喜欢吃鱼！西安市郊区自建上下两层都是两室一厅一厨一卫！父母跟弟弟，弟妹住另有两套！18年来阿克苏一工厂工作，底薪11000.技术指导和管理，每周末休息。娶嫁不论！只要合适！
1363001247,嘞呦嚠,https://photo.zastatic.com/images/photo/340751/1363001247/1145978714965308539.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,32,阿拉善盟,内蒙古阿拉善盟,5001-8000元,170,离异,春江潮水连海平，海上明月共潮生##3002##滟滟随波千万里，何处春江无月明！
1106615906,呼正,https://photo.zastatic.com/images/photo/276654/1106615906/287704348766185883.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,27,阿拉善盟,内蒙古阿拉善盟,8001-12000元,182,未婚,外向的射手座爱打篮球 喜欢健身 热爱工作我喜欢性格成熟稳重，知进退的女孩
1993147507,一湖清水,https://photo.zastatic.com/images/photo/498287/1993147507/810969779237156680.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,60,阿拉善盟,内蒙古阿拉善盟,大专,160,丧偶,我今年57岁，65年出生，属蛇的，退休后一直在医院工作。丧偶，孩子已成家独立，双亲都过世了，没有任何负担，希望能遇到一个性格好，有文化素养，懂体贴和包容，有固定收入的男士，不离不弃，相伴到老。
1141157393,会员1141157393,https://photo.zastatic.com/images/photo/285290/1141157393/6738677597311310871.jpeg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,32,阿拉善盟,内蒙古阿拉善盟,12001-20000元,180,离异,总有一个人的出现，会让你觉得，真爱总是值得被等待##3002##
1970610054,夜如此唯美,https://photo.zastatic.com/images/photo/492653/1970610054/740808881679603151.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,32,阿拉善盟,内蒙古阿拉善盟,中专,151,未婚,我是个残疾人，没有工作，能养我起人，可以接受##3002##有个脾气
1979306698,渴望,https://photo.zastatic.com/images/photo/494827/1979306698/338385608719918300.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,39,阿拉善盟,内蒙古阿拉善盟,5001-8000元,162,离异,孝顺，善良，互相包容.理解.信任.陪伴一生！
1085356927,瑞雪奇,https://photo.zastatic.com/images/photo/271340/1085356927/3127520009565136998.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,52,阿拉善盟,内蒙古阿拉善盟,高中及以下,160,丧偶,进这平台的人都有不同的经历和无奈，只要你敢在我身上赌，我拼了命也不会让你输！！！
80190751,寻找幸福,https://photo.zastatic.com/images/photo/20048/80190751/2273661749751611588.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,38,阿拉善盟,内蒙古阿拉善盟,大学本科,163,离异,总是坚信自己能幸福！不经历几个人渣怎么长大？没有被欺骗过怎么看透人心的黑暗？我是个有过很多伤痛经历的人，这些刻骨的伤痛让我学会了长大！但是，经历了这些以后，我也依然坚信自己能幸福，因为我值得！我只是想找一个能为我撑起一片天的男人，我只想做一个小女人！
70043057,天哥,https://photo.zastatic.com/images/photo/17511/70043057/785482873066798235.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,43,阿拉善盟,内蒙古阿拉善盟,5001-8000元,182,离异,有过一段失败的婚姻，没有小孩，性格不合。希望在这里找到生命中对的人，一起携手共度美好人生！！我是个典型的B型血人，1、很重感情，只要是真心认定的朋友，都会真心对待。2、不习惯主动和别人套近乎。3、决定要做的事，就会坚持到底。4、可以看着喜欢的人转身离开，望着他（她）的背影流泪却不会开口挽留。5、不开心的时候会故意隐藏自
1312469493,偶簦尒,https://photo.zastatic.com/images/photo/328118/1312469493/7003232669359114121.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,30,阿拉善盟,内蒙古阿拉善盟,8001-12000元,173,未婚,希望找一个比我小的女孩，无不良嗜好，有正式工作，收入稳定。不接受离异女士。
1556498449,人生如遇,https://photo.zastatic.com/images/photo/389125/1556498449/5326060819929385.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,45,阿拉善盟,内蒙古阿拉善盟,12001-20000元,176,未婚,夜里无人点燃烟一吸一吐夜难眠生活困顿四十载富贵何时靠老天烟到尽头全是灰人到困境无人陪
1162957428,一路有你,https://photo.zastatic.com/images/photo/290740/1162957428/8518127211966414644.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,45,阿拉善盟,内蒙古阿拉善盟,大专,165,离异,希望找一个有责任，有担当，包容我的一切不完美。
1649645699,相伴一生,https://photo.zastatic.com/images/photo/412412/1649645699/813275068470262759.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,48,阿拉善盟,内蒙古阿拉善盟,高中及以下,155,丧偶,我其貌不扬，但心地善良，爱说爱笑，性格开朗，喜欢直来直去，不喜欢拐弯抹角，
1894144891,杨悦,https://photo.zastatic.com/images/photo/473537/1894144891/8769412286105717473.png?scrop=1&crop=1&w=140&h=140&cpos=north,女士,39,阿拉善盟,内蒙古阿拉善盟,大专,165,离异,缘分像一本书，翻得不经意就会错过，你是我要找的幸福吗？
1376996864,青鸟天空,https://photo.zastatic.com/images/photo/344250/1376996864/661323671406521068.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,27,阿拉善盟,内蒙古阿拉善盟,5001-8000元,175,未婚,今年27了，希望找一个能一起走下去的，我希望是能一起奋斗一起结婚生子，白头偕老
1602294364,老村长,https://photo.zastatic.com/images/photo/400574/1602294364/5383441413211509653.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,59,阿拉善盟,内蒙古阿拉善盟,5001-8000元,168,离异,婚姻不幸遭刮蹭，妻离子散不成家。诊爱网上寻真爱，踏破铁鞋无觅处。借问佳丽何处有？天南地北皆芳草。
1376989027,66号公路,https://photo.zastatic.com/images/photo/344248/1376989027/449467665813310875.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,39,阿拉善盟,内蒙古阿拉善盟,12001-20000元,176,离异,普通人，热爱生活，喜欢旅行，超爱干净，为人正直善良。
1016698699,坚持,https://photo.zastatic.com/images/photo/254175/1016698699/61831092481904486.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,44,阿拉善盟,内蒙古阿拉善盟,5001-8000元,176,离异,我是一个老实人，希望对方也没有啥心眼，能持家过日子就行，不希望对方天天画的跟狐狸精一样，但是也要收拾的啰啰嗦嗦的
1413454179,醉丸子,https://photo.zastatic.com/images/photo/353364/1413454179/62676336795893102.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,女士,54,阿拉善盟,内蒙古阿拉善盟,高中及以下,163,离异,我心底善良对人和蔼，想找一个真心疼我爱我的人走完这一生！如果你真心喜欢我就来找我吧！我不是会员但我知道你有办法找到我
1002457370,海涛,https://photo.zastatic.com/images/photo/250615/1002457370/71422498612650780.jpg?scrop=1&crop=1&w=140&h=140&cpos=north,男士,52,阿拉善盟,内蒙古阿拉善盟,3001-5000元,170,离异,曾经的伤痛还在眼前希望能得到安抚得到幸福
